dgp_name,dgp,rep,feature_dim,total_samples,ref_samples,requested_ref_samples,batch_size,n_batches,shift_batch_index,policy,config_id,final_regret,mean_reward,hp_epsilon
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,1000,1000,100,140,65,Epsilon_Greedy,epsilon=0.4,427.7493887878762,-11.208752897413962,0.4
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,1000,1000,100,140,65,Epsilon_Greedy,epsilon=0.5,674.5208663615122,-12.971406308654219,0.5
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.05,235.70143407222884,-9.626456688142193,0.05
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.1,267.47469127967906,-9.870866358968732,0.1
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.2,365.5860640012336,-10.625569226057612,0.2
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.3,394.2799361208431,-10.84629131928538,0.3
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.4,484.51296530127786,-11.54039154375026,0.4
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.5,536.068619509185,-11.936973499195703,0.5
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.05,261.9360502870344,-9.767035154662594,0.05
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.1,335.2700543435262,-10.331142878174068,0.1
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.2,425.1316419792836,-11.022385859987589,0.2
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.3,428.9176196642526,-11.051508765256578,0.3
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.4,399.6526184423676,-10.82639337124208,0.4
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.5,539.687211316803,-11.903582547199274,0.5
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.05,263.2449897302539,-9.918640065596215,0.05
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.1,533.3406259180381,-11.996298805502246,0.1
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.2,443.9086596554007,-11.308360603481958,0.2
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.3,429.360519564695,-11.196451833553454,0.3
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.4,484.8381024765514,-11.623202471336963,0.4
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,2000,2000,100,130,55,Epsilon_Greedy,epsilon=0.5,597.0470912866108,-12.486348539106652,0.5
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.05,285.6626178131861,-10.379360413030978,0.05
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.1,289.9737813019444,-10.415286775437297,0.1
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.2,515.654733680249,-12.295961378589833,0.2
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.3,438.93534189680844,-11.65663311372783,0.3
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.4,571.4052892576399,-12.760549341734759,0.4
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.5,509.21292334830736,-12.242279625823652,0.5
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.05,262.82282184701467,-10.208712922435689,0.05
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.1,278.6728813625589,-10.34079675173189,0.1
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.2,329.4957713666299,-10.76432083509915,0.2
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.3,364.47713087566206,-11.055832164341087,0.3
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.4,487.80845870612484,-12.08359322959494,0.4
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.5,457.0801023489499,-11.827523593285148,0.5
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.05,260.27062830985403,-10.23902681694132,0.05
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.1,366.3384306358121,-11.122925169657638,0.1
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.2,339.0358434436832,-10.895403609723228,0.2
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.3,438.0813584567445,-11.72078290149874,0.3
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.4,452.804603976545,-11.843476614163743,0.4
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,3000,3000,100,120,45,Epsilon_Greedy,epsilon=0.5,511.9678614291322,-12.336503759601973,0.5
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.05,242.7388347849103,-9.550727521244575,0.05
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.1,323.17491358591917,-10.281964601253742,0.1
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.2,370.9167109412054,-10.715980940847256,0.2
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.3,364.40931977007017,-10.65682283929148,0.3
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.4,395.36669315550466,-10.938253506431792,0.4
