ref_samples,policy,config_id,final_regret_mean,final_regret_std,final_regret_best,n_repeats
500,Epsilon_Greedy,epsilon=0.05,295.4004211481076,23.136221316976744,272.9610515915261,3
500,Epsilon_Greedy,epsilon=0.1,326.95692572654457,28.054755402131864,305.1741129780338,3
500,Epsilon_Greedy,epsilon=0.2,432.6465303326861,7.913274058671594,424.7422694004432,3
500,Epsilon_Greedy,epsilon=0.4,484.614301702265,63.25922053248573,412.8591011382496,3
500,Epsilon_Greedy,epsilon=0.3,509.41872746502673,77.87514516598773,440.0067985626125,3
500,Epsilon_Greedy,epsilon=0.5,514.9736252429975,70.3616871264449,467.1021468422001,3
1000,Epsilon_Greedy,epsilon=0.05,285.53322236052185,21.089808516752846,270.731562783653,3
1000,Epsilon_Greedy,epsilon=0.1,289.81663504317277,12.27741359112115,275.7606110042584,3
1000,Epsilon_Greedy,epsilon=0.2,379.23575303769104,35.09604716983145,339.5514384751749,3
1000,Epsilon_Greedy,epsilon=0.3,443.4917999412092,26.202361226989613,419.6480554794519,3
1000,Epsilon_Greedy,epsilon=0.4,468.6825141741008,58.15564958878923,427.7493887878762,3
1000,Epsilon_Greedy,epsilon=0.5,679.2168552910284,83.86947232733714,597.7940364945656,3
2000,Epsilon_Greedy,epsilon=0.05,253.62749136317237,15.538210261003247,235.70143407222884,3
2000,Epsilon_Greedy,epsilon=0.1,378.6951238470811,138.15019470244505,267.47469127967906,3
2000,Epsilon_Greedy,epsilon=0.2,411.5421218786393,40.8914849317789,365.5860640012336,3
2000,Epsilon_Greedy,epsilon=0.3,417.5193584499302,20.127148400176008,394.2799361208431,3
2000,Epsilon_Greedy,epsilon=0.4,456.33456207339896,49.0882723151798,399.6526184423676,3
2000,Epsilon_Greedy,epsilon=0.5,557.600974037533,34.209219169524104,536.068619509185,3
3000,Epsilon_Greedy,epsilon=0.05,269.5853559900183,13.98167313881993,260.27062830985403,3
3000,Epsilon_Greedy,epsilon=0.1,311.6616977667718,47.68738221777636,278.6728813625589,3
3000,Epsilon_Greedy,epsilon=0.2,394.72878283018736,104.8335224799419,329.4957713666299,3
3000,Epsilon_Greedy,epsilon=0.3,413.831277076405,42.74407716084425,364.47713087566206,3
3000,Epsilon_Greedy,epsilon=0.5,492.75362904212983,30.924873500211127,457.0801023489499,3
3000,Epsilon_Greedy,epsilon=0.4,504.00611731343656,60.936883293745765,452.804603976545,3
4000,Epsilon_Greedy,epsilon=0.05,262.1640100702473,16.87062987773811,242.7388347849103,3
4000,Epsilon_Greedy,epsilon=0.1,298.0889916242964,27.40007297915223,268.8491330644616,3
4000,Epsilon_Greedy,epsilon=0.2,347.259396528631,24.243733372139,322.4689796459798,3
4000,Epsilon_Greedy,epsilon=0.3,375.67210161709454,10.52604365019932,364.40931977007017,3
4000,Epsilon_Greedy,epsilon=0.4,392.19817395795343,3.070833472036768,389.23537064059525,3
4000,Epsilon_Greedy,epsilon=0.5,448.7169041499471,22.742964762791228,422.544452629013,3
5000,Epsilon_Greedy,epsilon=0.1,189.77571579471729,28.830388170158304,167.37290129948167,3
5000,Epsilon_Greedy,epsilon=0.05,259.67790880217444,29.30519593015546,240.56850991294323,3
5000,Epsilon_Greedy,epsilon=0.2,323.0438587984167,60.324925287775606,272.2575617159046,3
5000,Epsilon_Greedy,epsilon=0.4,343.49194672210905,8.502054480716959,335.3336800350694,3
5000,Epsilon_Greedy,epsilon=0.5,381.06669951663997,48.0523043288528,332.0405953073026,3
5000,Epsilon_Greedy,epsilon=0.3,392.4621923839186,139.09272994431683,263.4094452414885,3
6000,Epsilon_Greedy,epsilon=0.1,194.6804230699448,14.36434079010843,184.4877067412573,3
6000,Epsilon_Greedy,epsilon=0.05,200.80150071654444,19.12164704687406,184.72195520078503,3
6000,Epsilon_Greedy,epsilon=0.2,239.37036210684346,8.606515331630149,229.66842211216093,3
6000,Epsilon_Greedy,epsilon=0.4,293.9478025951467,36.972776017173196,270.7072945081931,3
6000,Epsilon_Greedy,epsilon=0.3,300.4560508290112,20.144100243852904,279.25635429802537,3
6000,Epsilon_Greedy,epsilon=0.5,318.4891455258993,35.00592763891904,293.1904363892475,3
8000,Epsilon_Greedy,epsilon=0.05,145.8625487325007,34.46583686205579,122.2298579733422,3
8000,Epsilon_Greedy,epsilon=0.1,173.0032693641638,8.777073564566727,164.10216791611026,3
8000,Epsilon_Greedy,epsilon=0.2,223.98646649502987,30.799012515636857,198.72515260487503,3
8000,Epsilon_Greedy,epsilon=0.3,275.5267287361358,45.35819842285305,241.1974232307786,3
8000,Epsilon_Greedy,epsilon=0.4,307.68431980137035,19.55076605314576,285.5422783346644,3
8000,Epsilon_Greedy,epsilon=0.5,361.20982075641194,75.1692029834657,284.02985941523707,3
10000,Epsilon_Greedy,epsilon=0.1,147.45177052550957,12.376250509100252,135.55507816497186,3
10000,Epsilon_Greedy,epsilon=0.05,149.49726179513235,30.65935026771357,130.5198574711295,3
10000,Epsilon_Greedy,epsilon=0.2,185.60172613306676,25.46454048833849,156.82213527040534,3
10000,Epsilon_Greedy,epsilon=0.3,215.3055966320393,14.139694875665969,200.10252709448494,3
10000,Epsilon_Greedy,epsilon=0.4,219.67347849404814,21.629099169574598,195.40594654642783,3
10000,Epsilon_Greedy,epsilon=0.5,243.62295835441375,5.4514596742493175,239.7618633231442,3
