policy,config_id,batch_index,cum_regret_mean,cum_regret_std,cum_regret_lower,cum_regret_upper,n_repeats
Epsilon_Greedy,epsilon=0.02,0,7.315441371102078,0.20614756830342879,7.109293802798649,7.521588939405507,3
Epsilon_Greedy,epsilon=0.02,1,13.46324361248403,0.853743676738814,12.609499935745216,14.316987289222844,3
Epsilon_Greedy,epsilon=0.02,2,19.239303337179322,1.5112543443345041,17.72804899284482,20.750557681513826,3
Epsilon_Greedy,epsilon=0.02,3,25.479236155325676,2.061994695597955,23.41724145972772,27.541230850923633,3
Epsilon_Greedy,epsilon=0.02,4,31.8839713403122,1.4437288172890324,30.44024252302317,33.327700157601235,3
Epsilon_Greedy,epsilon=0.02,5,38.34671293927016,1.374094736000608,36.972618203269555,39.72080767527077,3
Epsilon_Greedy,epsilon=0.02,6,45.19699164953665,3.3725430958182088,41.82444855371844,48.56953474535486,3
Epsilon_Greedy,epsilon=0.02,7,51.29615828516615,3.5611546957484235,47.73500358941773,54.85731298091457,3
Epsilon_Greedy,epsilon=0.02,8,55.2181866531453,2.0912839314588565,53.12690272168645,57.309470584604156,3
Epsilon_Greedy,epsilon=0.02,9,58.72788465038204,4.337282452945901,54.39060219743614,63.06516710332794,3
Epsilon_Greedy,epsilon=0.02,10,63.38704946485825,7.927731902415902,55.45931756244235,71.31478136727415,3
Epsilon_Greedy,epsilon=0.02,11,67.9236011109398,11.544183249049112,56.37941786189069,79.46778435998891,3
Epsilon_Greedy,epsilon=0.02,12,71.5792855233867,14.349112292106172,57.23017323128053,85.92839781549287,3
Epsilon_Greedy,epsilon=0.02,13,73.64370582315978,15.77001096875095,57.873694854408825,89.41371679191073,3
Epsilon_Greedy,epsilon=0.02,14,75.52074774998466,17.480846565521716,58.03990118446295,93.00159431550638,3
Epsilon_Greedy,epsilon=0.02,15,77.75334211013994,19.879875168717994,57.873466941421945,97.63321727885793,3
Epsilon_Greedy,epsilon=0.02,16,79.87637684608428,22.51500471642727,57.36137212965701,102.39138156251155,3
Epsilon_Greedy,epsilon=0.02,17,81.56834392868457,24.762945356416864,56.805398572267706,106.33128928510143,3
Epsilon_Greedy,epsilon=0.02,18,83.32214834929778,27.22527749348997,56.09687085580781,110.54742584278775,3
Epsilon_Greedy,epsilon=0.02,19,85.70582238292963,30.688850999410278,55.01697138351935,116.3946733823399,3
Epsilon_Greedy,epsilon=0.02,20,93.5586600838202,24.833553842360335,68.72510624145987,118.39221392618053,3
Epsilon_Greedy,epsilon=0.02,21,99.5873245721138,22.342054667887705,77.24526990422609,121.92937924000151,3
Epsilon_Greedy,epsilon=0.02,22,104.79272669385985,19.734885660379074,85.05784103348077,124.52761235423893,3
