feature_dim,policy,config_id,final_regret_mean,final_regret_std,final_regret_best,n_repeats
10,Epsilon_Greedy,epsilon=0.05,220.4983555067804,68.4316338335744,180.27841726206725,3
10,Epsilon_Greedy,epsilon=0.1,252.98749007002115,58.46028942418847,187.6772622307801,3
10,Epsilon_Greedy,epsilon=0.2,347.3179949555212,56.76287904530765,281.8533826333128,3
10,Epsilon_Greedy,epsilon=0.4,365.5604826243475,22.01634816048133,344.3623996231275,3
10,Epsilon_Greedy,epsilon=0.5,397.2765928628343,33.339438330334815,369.00562350389305,3
10,Epsilon_Greedy,epsilon=0.3,423.46202082801074,75.51188041980299,379.18947593099455,3
20,Epsilon_Greedy,epsilon=0.05,216.65312623758825,39.10495905570223,173.4352240404521,3
20,Epsilon_Greedy,epsilon=0.2,289.62851158112,46.96326194051377,236.72094727964765,3
20,Epsilon_Greedy,epsilon=0.1,298.4289522887569,32.34287644720489,266.3801540016581,3
20,Epsilon_Greedy,epsilon=0.3,301.14350018890303,34.470373782300136,263.2009459481082,3
20,Epsilon_Greedy,epsilon=0.5,360.8589989957941,50.33101012830547,302.7440576023237,3
20,Epsilon_Greedy,epsilon=0.4,363.69667751068897,20.805237917166938,347.5674998206843,3
30,Epsilon_Greedy,epsilon=0.1,221.49600476830105,23.387466955548224,196.8358723738157,3
30,Epsilon_Greedy,epsilon=0.05,233.1968347870527,60.439368908045964,166.96164864298174,3
30,Epsilon_Greedy,epsilon=0.2,261.02373005190924,41.2488205841089,213.42829265912275,3
30,Epsilon_Greedy,epsilon=0.4,357.9303325320013,85.0559508562657,262.22672698151706,3
30,Epsilon_Greedy,epsilon=0.5,370.86594271200767,95.56317960104722,261.5756756739764,3
30,Epsilon_Greedy,epsilon=0.3,390.82497715092967,38.11667664446412,366.06270887186224,3
40,Epsilon_Greedy,epsilon=0.05,220.44036671229603,34.48761245005343,180.99738442321018,3
40,Epsilon_Greedy,epsilon=0.1,243.62071743602414,34.51976802974878,219.3145344626071,3
40,Epsilon_Greedy,epsilon=0.2,288.40083653455423,77.38728620847125,199.40454894116814,3
40,Epsilon_Greedy,epsilon=0.3,379.14584389190964,13.265504800181544,364.07279890700715,3
40,Epsilon_Greedy,epsilon=0.4,386.57945349768465,45.00809093218882,344.2926996958252,3
40,Epsilon_Greedy,epsilon=0.5,419.755344425593,2.639050162283832,417.0764534696769,3
50,Epsilon_Greedy,epsilon=0.1,215.20291248938057,29.823576440273904,197.70246807447535,3
50,Epsilon_Greedy,epsilon=0.05,224.14944401966764,53.982393717481266,181.2536772542434,3
50,Epsilon_Greedy,epsilon=0.3,334.41330276623563,55.6118727409102,277.1024931298156,3
50,Epsilon_Greedy,epsilon=0.2,358.1989653373982,137.95434340859612,268.0822838016599,3
50,Epsilon_Greedy,epsilon=0.5,386.15166651200093,34.11057060246013,366.04820450336564,3
50,Epsilon_Greedy,epsilon=0.4,398.5271724256625,69.38794468975725,355.23421768511287,3
75,Epsilon_Greedy,epsilon=0.2,314.68984223431914,117.20760254395442,191.93063722092808,3
75,Epsilon_Greedy,epsilon=0.05,315.34822681362,56.33750926721482,277.0966928535577,3
75,Epsilon_Greedy,epsilon=0.1,325.3979979781549,77.24364974726552,247.6198671172527,3
75,Epsilon_Greedy,epsilon=0.3,395.34670580321335,42.76424994647545,359.0276675109156,3
75,Epsilon_Greedy,epsilon=0.4,451.5321436111483,50.917750751036856,415.49310509206543,3
75,Epsilon_Greedy,epsilon=0.5,465.10632816895014,76.09840566745149,391.88231671393567,3
100,Epsilon_Greedy,epsilon=0.1,197.95692322409516,18.744141873013962,176.82600655146177,3
100,Epsilon_Greedy,epsilon=0.05,253.33291829240184,9.616221234452636,242.85653101803507,3
100,Epsilon_Greedy,epsilon=0.2,340.78387922302863,54.157386792990124,279.05625366566954,3
100,Epsilon_Greedy,epsilon=0.3,341.53607598436514,74.7555587197018,269.33220894498976,3
100,Epsilon_Greedy,epsilon=0.4,381.2475387321911,56.88601802189294,333.2155850318193,3
100,Epsilon_Greedy,epsilon=0.5,421.90831520804267,11.587070424893433,411.48094779203427,3
150,Epsilon_Greedy,epsilon=0.05,228.7591820223039,111.36864962495736,120.05410702521623,3
150,Epsilon_Greedy,epsilon=0.1,260.36114269788067,84.28693698398908,169.4829973737531,3
150,Epsilon_Greedy,epsilon=0.2,295.80241148874876,30.841564412864713,260.1905979507668,3
150,Epsilon_Greedy,epsilon=0.3,352.8507590111239,40.28499780566553,309.90875373678443,3
150,Epsilon_Greedy,epsilon=0.4,355.7227251521156,99.39070058783732,248.82340638633195,3
150,Epsilon_Greedy,epsilon=0.5,393.05847816663777,52.60890566170514,334.5973083543845,3
200,Epsilon_Greedy,epsilon=0.05,244.5386851248434,45.019975736713995,201.68284420154103,3
200,Epsilon_Greedy,epsilon=0.1,267.87319972647236,148.89216564586258,174.20472995070907,3
200,Epsilon_Greedy,epsilon=0.3,275.77609874182673,47.139284280022245,222.14495419176623,3
200,Epsilon_Greedy,epsilon=0.2,306.205009283749,37.40915953848263,266.6819426685454,3
200,Epsilon_Greedy,epsilon=0.5,339.82213665093656,38.310563213751095,316.9737775376481,3
200,Epsilon_Greedy,epsilon=0.4,354.47362874546843,22.900038940945954,331.4135665277437,3
300,Epsilon_Greedy,epsilon=0.05,164.7595384317422,13.311798975633014,152.32069153809493,3
300,Epsilon_Greedy,epsilon=0.1,262.72485152258474,15.680981913125276,252.52426854463073,3
300,Epsilon_Greedy,epsilon=0.2,285.70053347659336,22.593194025998226,259.6131365469813,3
300,Epsilon_Greedy,epsilon=0.3,292.85030724223645,24.725147105006403,265.40809306706666,3
300,Epsilon_Greedy,epsilon=0.4,307.61192012644966,36.427539650040615,267.20698829150615,3
300,Epsilon_Greedy,epsilon=0.5,329.50701324603637,42.83826911459091,290.9378419914571,3
400,Epsilon_Greedy,epsilon=0.05,205.36830316859746,16.509624678216348,187.9314748080555,3
400,Epsilon_Greedy,epsilon=0.1,243.39661258008036,37.051402634145745,200.61705879233682,3
