policy,config_id,final_regret_mean,final_regret_std,final_regret_best,n_repeats
Epsilon_Greedy,epsilon=0.1,208.83637150710436,17.350258064363377,193.72661917283102,3
Epsilon_Greedy,epsilon=0.05,255.29582646838512,37.853044721110464,212.56595357661834,3
Epsilon_Greedy,epsilon=0.02,281.1058541951774,39.94443927264906,235.7152134410593,3
UCB,default,285.3932368020327,45.14844749932488,250.60205462387822,3
LinUCB_Vanilla,alpha=0.1|lambda_reg=50|use_momentum=False,375.3796938674763,6.688636372959912,368.06932133834897,3
LinUCB_Vanilla,alpha=0.1|lambda_reg=100|use_momentum=False,390.93311202158475,12.551865990321128,381.5665152763467,3
AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,417.7745501546672,8.552516553146338,408.9232427476359,3
AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.1|gamma=0.9|max_epsilon=0.5,418.40294535011554,27.783005549900885,386.3882832883425,3
AdaptiveEpsilonGreedy,anomaly_sensitivity=0.5|base_epsilon=0.1|gamma=0.9|max_epsilon=0.5,425.2499155843898,25.285359530719663,398.1604648140871,3
AdaptiveEpsilonGreedy,anomaly_sensitivity=0.5|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,427.3193905283718,21.39197324717991,406.84823714686377,3
Thompson_Sampling,prior_lambda=0.1,445.85037438681684,16.386304887768066,430.51650071059174,3
Thompson_Sampling,prior_lambda=0.15,458.2334207437748,44.14817030275078,411.2856670955258,3
Random,default,468.7671714730271,40.296626087254474,426.3105990596932,3
