cooling_preset,policy,config_id,batch_index,cum_regret_mean,cum_regret_std,cum_regret_lower,cum_regret_upper,n_repeats
scale_default,Epsilon_Greedy,epsilon=0.15,0,0.11260200102917584,0.07462865959094767,0.03797334143822817,0.1872306606201235,3
scale_default,Epsilon_Greedy,epsilon=0.15,1,0.18380676502638182,0.12740563050025386,0.056401134526127966,0.3112123955266357,3
scale_default,Epsilon_Greedy,epsilon=0.15,2,0.3144637254327284,0.21373166421808618,0.1007320612146422,0.5281953896508146,3
scale_default,Epsilon_Greedy,epsilon=0.15,3,0.3925433541993664,0.2720924385087078,0.12045091569065863,0.6646357927080742,3
scale_default,Epsilon_Greedy,epsilon=0.15,4,0.5143554068244693,0.3640927235702501,0.15026268325421926,0.8784481303947194,3
scale_default,Epsilon_Greedy,epsilon=0.15,5,0.6045942225763593,0.4285218675384629,0.17607235503789642,1.0331160901148222,3
scale_default,Epsilon_Greedy,epsilon=0.15,6,0.6237815194710756,0.4364247433033601,0.1873567761677155,1.0602062627744357,3
scale_default,Epsilon_Greedy,epsilon=0.15,7,0.6492416181407065,0.4282985709960114,0.2209430471446951,1.0775401891367178,3
scale_default,Epsilon_Greedy,epsilon=0.15,8,0.6604320355473137,0.42091449267413156,0.2395175428731821,1.0813465282214452,3
scale_default,Epsilon_Greedy,epsilon=0.15,9,0.6718598295498003,0.42065803888248543,0.25120179066731485,1.0925178684322856,3
scale_default,Epsilon_Greedy,epsilon=0.15,10,0.6871692675480993,0.4125037972057673,0.27466547034233196,1.0996730647538666,3
scale_default,Epsilon_Greedy,epsilon=0.15,11,0.6945774344894559,0.41905811005544846,0.2755193244340074,1.1136355445449042,3
scale_default,Epsilon_Greedy,epsilon=0.15,12,0.7057776909488104,0.42574720306978364,0.28003048787902673,1.131524894018594,3
scale_default,Epsilon_Greedy,epsilon=0.15,13,0.720214361156439,0.4267287298396038,0.2934856313168352,1.1469430909960427,3
scale_default,Epsilon_Greedy,epsilon=0.15,14,0.7335967314552265,0.4299745656989619,0.3036221657562646,1.1635712971541885,3
scale_default,Epsilon_Greedy,epsilon=0.15,15,0.758491317716706,0.4451544936246577,0.31333682409204827,1.2036458113413637,3
scale_default,Epsilon_Greedy,epsilon=0.15,16,0.7653116865896269,0.4520232098946503,0.3132884766949766,1.2173348964842772,3
scale_default,Epsilon_Greedy,epsilon=0.15,17,0.7790215051786772,0.4611311233170871,0.3178903818615901,1.2401526284957642,3
scale_default,Epsilon_Greedy,epsilon=0.15,18,0.8058792732710778,0.4892531302780735,0.3166261429930043,1.2951324035491512,3
scale_default,Epsilon_Greedy,epsilon=0.15,19,0.811826285044364,0.4930603565992984,0.3187659284450656,1.3048866416436624,3
scale_default,Epsilon_Greedy,epsilon=0.15,20,0.8331654879149147,0.502506435617297,0.3306590522976177,1.3356719235322116,3
scale_default,Epsilon_Greedy,epsilon=0.15,21,0.8381291260227256,0.5080006462490724,0.3301284797736532,1.346129772271798,3
scale_default,Epsilon_Greedy,epsilon=0.15,22,0.8446054952951013,0.5115747842564063,0.33303071103869497,1.3561802795515077,3
scale_default,Epsilon_Greedy,epsilon=0.15,23,0.8939702898444963,0.527991490587812,0.3659787992566843,1.4219617804323084,3
scale_default,Epsilon_Greedy,epsilon=0.15,24,0.8989268177738542,0.5306074690347472,0.368319348739107,1.4295342868086014,3
scale_default,Epsilon_Greedy,epsilon=0.15,25,0.9157882286961452,0.5475563493363006,0.3682318793598446,1.4633445780324457,3
scale_default,Epsilon_Greedy,epsilon=0.15,26,0.9346066718124661,0.5577793893197032,0.376827282492763,1.4923860611321693,3
scale_default,Epsilon_Greedy,epsilon=0.15,27,0.9438663883702952,0.5683726973685146,0.37549369100178065,1.51223908573881,3
scale_default,Epsilon_Greedy,epsilon=0.15,28,0.9685636053759937,0.5501503305317479,0.41841327484424584,1.5187139359077415,3
scale_default,Epsilon_Greedy,epsilon=0.15,29,0.9768195673538097,0.5561185333046579,0.4207010340491518,1.5329381006584675,3
scale_default,Epsilon_Greedy,epsilon=0.15,30,0.9854827837347274,0.5550398848122701,0.43044289892245735,1.5405226685469975,3
scale_default,Epsilon_Greedy,epsilon=0.15,31,0.9939646092798018,0.5610604660149175,0.43290414326488424,1.5550250752947194,3
scale_default,Epsilon_Greedy,epsilon=0.15,32,0.9978836747901915,0.5643667776424964,0.43351689714769504,1.562250452432688,3
scale_default,Epsilon_Greedy,epsilon=0.15,33,1.0041741931616022,0.568914044217489,0.43526014894411313,1.5730882373790913,3
scale_default,Epsilon_Greedy,epsilon=0.15,34,1.0135634589324347,0.5780536601598202,0.43550979877261453,1.591617119092255,3
scale_default,Epsilon_Greedy,epsilon=0.15,35,1.0217449231810638,0.580306639202483,0.44143828397858076,1.6020515623835467,3
scale_default,Epsilon_Greedy,epsilon=0.15,36,1.0950157435600403,0.4939058405401488,0.6011099030198914,1.5889215841001891,3
scale_default,Epsilon_Greedy,epsilon=0.15,37,1.1022097359996563,0.48454385069026734,0.617665885309389,1.5867535866899236,3
scale_default,Epsilon_Greedy,epsilon=0.15,38,1.1380185822900628,0.5252847942132213,0.6127337880768415,1.663303376503284,3
scale_default,Epsilon_Greedy,epsilon=0.15,39,1.1440591980601234,0.5286858661953021,0.6153733318648212,1.6727450642554254,3
scale_default,Epsilon_Greedy,epsilon=0.15,40,1.1509668780413895,0.5324905048804698,0.6184763731609197,1.6834573829218593,3
scale_default,Epsilon_Greedy,epsilon=0.15,41,1.1799315802578763,0.5406508417647296,0.6392807384931467,1.7205824220226058,3
scale_default,Epsilon_Greedy,epsilon=0.15,42,1.1916857466433528,0.5445371986860457,0.6471485479573071,1.7362229453293985,3
scale_default,Epsilon_Greedy,epsilon=0.15,43,1.2012601482054857,0.5482979236638202,0.6529622245416654,1.749558071869306,3
scale_default,Epsilon_Greedy,epsilon=0.15,44,1.2059143193402517,0.5533309218649034,0.6525833974753483,1.7592452412051551,3
scale_default,Epsilon_Greedy,epsilon=0.15,45,1.221205974372731,0.5519779629645074,0.6692280114082236,1.7731839373372384,3
scale_default,Epsilon_Greedy,epsilon=0.15,46,1.2557515675513218,0.5693324271698788,0.686419140381443,1.8250839947212005,3
scale_default,Epsilon_Greedy,epsilon=0.15,47,1.2816890377481625,0.5847749344598618,0.6969141032883006,1.8664639722080243,3
scale_default,Epsilon_Greedy,epsilon=0.15,48,1.2984842870060962,0.5950175845358802,0.703466702470216,1.8935018715419765,3
scale_default,Epsilon_Greedy,epsilon=0.15,49,1.3061347549814613,0.5892372753519776,0.7168974796294837,1.895372030333439,3
scale_default,Epsilon_Greedy,epsilon=0.15,50,1.319580405508563,0.5839188875099859,0.735661517998577,1.9034992930185488,3
scale_default,Epsilon_Greedy,epsilon=0.15,51,1.3301948364838658,0.585778110209067,0.7444167262747988,1.915972946692933,3
scale_default,Epsilon_Greedy,epsilon=0.15,52,1.3348839016411007,0.5796825071434943,0.7552013944976064,1.914566408784595,3
