setting,dgp_name,dgp,rep,feature_dim,total_samples,ref_samples,batch_size,n_batches,shift_batch_index,policy,config_id,final_regret,mean_reward,hp_epsilon,hp_base_epsilon,hp_max_epsilon,hp_gamma,hp_anomaly_sensitivity,hp_alpha,hp_lambda_reg,hp_use_momentum,hp_prior_lambda
stationary,stationary,stationary,2,30,20000,5000,25,600,600,Epsilon_Greedy,epsilon=0.1,4.216687220778967,-0.05002324711309334,0.1,,,,,,,,
stationary,stationary,stationary,2,30,20000,5000,25,600,600,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,7.605418384815023,-0.05567113238648677,,0.05,0.5,0.9,0.3,,,,
stationary,stationary,stationary,2,30,20000,5000,25,600,600,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.5|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,10.521772327639031,-0.060531722291193454,,0.05,0.5,0.9,0.5,,,,
stationary,stationary,stationary,2,30,20000,5000,25,600,600,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.1|gamma=0.9|max_epsilon=0.5,9.343785391796498,-0.0585684107314559,,0.1,0.5,0.9,0.3,,,,
stationary,stationary,stationary,2,30,20000,5000,25,600,600,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.5|base_epsilon=0.1|gamma=0.9|max_epsilon=0.5,11.786047878490852,-0.06263884820927981,,0.1,0.5,0.9,0.5,,,,
stationary,stationary,stationary,2,30,20000,5000,25,600,600,UCB,default,18.518026707804424,-0.07385881292480244,,,,,,,,,
stationary,stationary,stationary,2,30,20000,5000,25,600,600,Random,default,20.76598039519895,-0.07760540240379331,,,,,,,,,
stationary,stationary,stationary,2,30,20000,5000,25,600,600,LinUCB_Vanilla,alpha=0.1|lambda_reg=50|use_momentum=False,7.810383645329443,-0.0560127411540108,,,,,,0.1,50.0,False,
stationary,stationary,stationary,2,30,20000,5000,25,600,600,LinUCB_Vanilla,alpha=0.1|lambda_reg=100|use_momentum=False,8.97540789648177,-0.05795444823926469,,,,,,0.1,100.0,False,
stationary,stationary,stationary,2,30,20000,5000,25,600,600,Thompson_Sampling,prior_lambda=0.1,14.803347924305246,-0.06766768161897048,,,,,,,,,0.1
stationary,stationary,stationary,2,30,20000,5000,25,600,600,Thompson_Sampling,prior_lambda=0.15,15.690633918700868,-0.06914649160962985,,,,,,,,,0.15
