dgp_name,dgp,rep,feature_dim,total_samples,ref_samples,batch_size,n_batches,shift_batch_index,policy,config_id,final_regret,mean_reward,hp_epsilon
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,2,20,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.05,226.9325795534994,-9.379277806998672,0.05
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,2,20,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.1,266.3801540016581,-9.77375355148026,0.1
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,2,20,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.2,326.38473042700184,-10.373799315733697,0.2
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,2,20,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.3,330.5300834476115,-10.415252845939795,0.3
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,2,20,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.4,387.1802528682061,-10.981754540145738,0.4
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,2,20,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.5,390.3645440844714,-11.013597452308392,0.5
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.05,166.96164864298174,-9.135833782290069,0.05
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.1,224.2928651400252,-9.709145947260502,0.1
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.2,213.42829265912275,-9.600500222451476,0.2
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.3,371.69415180401984,-11.183158813900448,0.3
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.4,262.22672698151706,-10.088484565675419,0.4
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.5,261.5756756739764,-10.081974052600014,0.5
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,1,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.05,247.27256867076102,-9.439577558944878,0.05
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,1,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.1,243.35927679106226,-9.40044464014789,0.1
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,1,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.2,283.2495218664114,-9.799347090901382,0.2
