policy,config_id,final_regret_mean,final_regret_std,final_regret_best,n_repeats
Epsilon_Greedy,epsilon=0.1,7.284436229867623,4.533148874258162,4.216687220778967,3
LinUCB_Vanilla,alpha=0.1|lambda_reg=50|use_momentum=False,7.829802360027756,0.35130931864374715,7.488605145045282,3
AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,8.080299144984062,0.5381285497167922,7.605418384815023,3
Epsilon_Greedy,epsilon=0.05,8.667400492573,3.0830924997858498,5.647181949005834,3
LinUCB_Vanilla,alpha=0.1|lambda_reg=100|use_momentum=False,8.840552727414767,0.13708109542003802,8.701349177172052,3
AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.1|gamma=0.9|max_epsilon=0.5,9.154221502688236,0.38653678515280654,8.709496941072564,3
AdaptiveEpsilonGreedy,anomaly_sensitivity=0.5|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,10.002727772205132,0.6039054242231091,9.33991115593145,3
AdaptiveEpsilonGreedy,anomaly_sensitivity=0.5|base_epsilon=0.1|gamma=0.9|max_epsilon=0.5,10.946816316445572,0.7320923269838907,10.439297383153129,3
Thompson_Sampling,prior_lambda=0.1,14.925576277852835,0.289518752361099,14.717216373942588,3
Thompson_Sampling,prior_lambda=0.15,15.517133595503381,0.1634287251436447,15.366101425614193,3
Epsilon_Greedy,epsilon=0.02,17.385964561892973,10.516069387054303,11.195288501738407,3
UCB,default,18.247995702627136,0.44583125649252003,17.733404184663566,3
Random,default,20.15253055086494,0.531449276966554,19.831741477347506,3
