feature_dim,config_id,epsilon,explore_traffic_ratio,final_regret_mean,final_regret_std,final_regret_cv,n_repeats,n_batches,shift_batch_index
10,epsilon=0.05,0.05,0.05,220.4983555067804,55.87419505241161,0.25339959984732613,3,100,25
20,epsilon=0.05,0.05,0.05,216.65312623758825,31.929065366299586,0.14737412711638062,3,100,25
30,epsilon=0.05,0.05,0.05,233.1968347870527,49.34853806684904,0.21161752950854767,3,100,25
40,epsilon=0.05,0.05,0.05,220.44036671229603,28.15901764982911,0.12773984216139675,3,100,25
50,epsilon=0.05,0.05,0.05,224.14944401966764,44.076439900617814,0.19663863139785615,3,100,25
75,epsilon=0.05,0.05,0.05,315.34822681362,45.999383694665,0.14586853447522943,3,100,25
100,epsilon=0.05,0.05,0.05,253.33291829240184,7.851611759375175,0.0309932550901762,3,100,25
150,epsilon=0.05,0.05,0.05,228.7591820223039,90.93212164131556,0.39750151594985916,3,100,25
200,epsilon=0.05,0.05,0.05,244.53868512484345,36.758656262476165,0.15031836882458863,3,100,25
300,epsilon=0.05,0.05,0.05,164.7595384317422,10.86903834960157,0.06596909928892813,3,100,25
400,epsilon=0.05,0.05,0.05,205.36830316859746,13.480052102163658,0.06563842566833299,3,100,25
500,epsilon=0.05,0.05,0.05,365.9970515765405,148.92540799027782,0.4069032997636956,3,100,25
10,epsilon=0.1,0.1,0.1,252.98749007002115,47.732626434895195,0.18867583698183613,3,100,25
20,epsilon=0.1,0.1,0.1,298.4289522887569,26.407848036510686,0.08848956454787509,3,100,25
30,epsilon=0.1,0.1,0.1,221.49600476830108,19.095786805765293,0.08621278214810557,3,100,25
40,epsilon=0.1,0.1,0.1,243.62071743602414,28.1852725707081,0.11569325001314668,3,100,25
50,epsilon=0.1,0.1,0.1,215.20291248938057,24.35084819452032,0.11315296764732188,3,100,25
75,epsilon=0.1,0.1,0.1,325.3979979781549,63.06917591702111,0.19382164705652297,3,100,25
100,epsilon=0.1,0.1,0.1,197.95692322409516,15.304527751740123,0.07731241475406639,3,100,25
150,epsilon=0.1,0.1,0.1,260.36114269788067,68.81999586429778,0.2643251414215658,3,100,25
200,epsilon=0.1,0.1,0.1,267.87319972647236,121.56994417677143,0.453833919559357,3,100,25
300,epsilon=0.1,0.1,0.1,262.72485152258474,12.803468117656298,0.04873337274131323,3,100,25
400,epsilon=0.1,0.1,0.1,243.39661258008036,30.252343569356537,0.12429237715624805,3,100,25
500,epsilon=0.1,0.1,0.1,258.5536755765187,26.454926047085337,0.10231889370010534,3,100,25
10,epsilon=0.2,0.2,0.2,347.3179949555212,46.34669666410776,0.1334416797783342,3,100,25
