cooling_preset,policy,config_id,batch_index,cum_regret_mean,cum_regret_std,cum_regret_lower,cum_regret_upper,n_repeats
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,26,0.8045894075269121,0.26672872045941143,0.5378606870675007,1.0713181279863235,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,27,0.827956756141688,0.23766119108959252,0.5902955650520955,1.0656179472312806,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,28,0.856280405087933,0.23378442557854404,0.622495979509389,1.090064830666477,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,29,0.8657441813590011,0.22751141232924493,0.6382327690297562,1.093255593688246,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,30,0.8790248218512335,0.23528604991405658,0.643738771937177,1.11431087176529,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,31,0.8899241797555106,0.22118778558530536,0.6687363941702053,1.111111965340816,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,32,0.911780247396991,0.2075670924611745,0.7042131549358166,1.1193473398581655,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,33,0.9368953301616596,0.210166004151113,0.7267293260105466,1.1470613343127727,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,34,0.9849046659169612,0.20936501586080922,0.775539650056152,1.1942696817777705,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,35,0.9849046659169612,0.20936501586080922,0.775539650056152,1.1942696817777705,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,36,0.9940743144999983,0.20755030253713364,0.7865240119628647,1.2016246170371319,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,37,1.0018294166966761,0.2028340060108912,0.798995410685785,1.2046634227075672,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,38,1.0190433413866427,0.20625676365429393,0.8127865777323487,1.2253001050409367,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,39,1.0247944967708604,0.20916536096623722,0.8156291358046233,1.2339598577370976,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,40,1.0613350385369031,0.23962455891726142,0.8217104796196417,1.3009595974541646,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,41,1.069865590698288,0.23477249864248187,0.8350930920558061,1.3046380893407699,3
