ref_samples,config_id,epsilon,explore_traffic_ratio,final_regret_mean,final_regret_std,final_regret_cv,n_repeats,n_batches,feature_dim,total_samples,batch_size,shift_batch_index
500,epsilon=0.05,0.05,0.05,295.4004211481076,18.890645600898683,0.06394928459302131,3,145,30,15000,100,70
1000,epsilon=0.05,0.05,0.05,285.53322236052185,17.219756546349142,0.06030736600102884,3,140,30,15000,100,65
2000,epsilon=0.05,0.05,0.05,253.62749136317237,12.686895551845259,0.050021768080648385,3,130,30,15000,100,55
3000,epsilon=0.05,0.05,0.05,269.5853559900183,11.415988313495495,0.04234647045857411,3,120,30,15000,100,45
4000,epsilon=0.05,0.05,0.05,262.1640100702473,13.774811613270312,0.05254272548539111,3,110,30,15000,100,35
5000,epsilon=0.05,0.05,0.05,259.6779088021745,23.927592280389025,0.09214334939294866,3,100,30,15000,100,25
6000,epsilon=0.05,0.05,0.05,200.8015007165444,15.612759435479413,0.07775220493754531,3,90,30,15000,100,15
8000,epsilon=0.05,0.05,0.05,145.86254873250067,28.14123795668134,0.19292983840759526,3,70,30,15000,100,1
10000,epsilon=0.05,0.05,0.05,149.49726179513235,25.03325466705369,0.16744958647710012,3,50,30,15000,100,1
500,epsilon=0.1,0.1,0.1,326.95692572654457,22.90661186460432,0.07006002950909385,3,145,30,15000,100,70
1000,epsilon=0.1,0.1,0.1,289.81663504317277,10.024466219786012,0.034588995273831365,3,140,30,15000,100,65
2000,epsilon=0.1,0.1,0.1,378.6951238470811,112.79916162904604,0.29786272525282076,3,130,30,15000,100,55
3000,epsilon=0.1,0.1,0.1,311.6616977667718,38.93658453420804,0.12493220955032387,3,120,30,15000,100,45
4000,epsilon=0.1,0.1,0.1,298.0889916242964,22.372065904647968,0.07505163401956533,3,110,30,15000,100,35
5000,epsilon=0.1,0.1,0.1,189.77571579471729,23.539913367753417,0.12404070388656487,3,100,30,15000,100,25
6000,epsilon=0.1,0.1,0.1,194.6804230699448,11.728435142404201,0.060244553394002066,3,90,30,15000,100,15
8000,epsilon=0.1,0.1,0.1,173.0032693641638,7.166450556019864,0.041423786858818375,3,70,30,15000,100,1
10000,epsilon=0.1,0.1,0.1,147.45177052550957,10.105166225385386,0.06853201008961207,3,50,30,15000,100,1
500,epsilon=0.2,0.2,0.2,432.64653033268604,6.461161212849437,0.014934041439974314,3,145,30,15000,100,70
1000,epsilon=0.2,0.2,0.2,379.23575303769104,28.655802518245572,0.0755619750741106,3,140,30,15000,100,65
2000,epsilon=0.2,0.2,0.2,411.5421218786393,33.3877576358551,0.0811284091247916,3,130,30,15000,100,55
3000,epsilon=0.2,0.2,0.2,394.72878283018736,85.59621267148249,0.21684816611994076,3,120,30,15000,100,45
4000,epsilon=0.2,0.2,0.2,347.259396528631,19.794925407274896,0.057003282287403374,3,110,30,15000,100,35
5000,epsilon=0.2,0.2,0.2,323.0438587984167,49.25509524218932,0.15247185142412845,3,100,30,15000,100,25
6000,epsilon=0.2,0.2,0.2,239.37036210684346,7.027190341978068,0.0293569775310841,3,90,30,15000,100,15
8000,epsilon=0.2,0.2,0.2,223.98646649502987,25.147288414967733,0.11227146357758064,3,70,30,15000,100,1
10000,epsilon=0.2,0.2,0.2,185.60172613306676,20.791710243624024,0.11202325903325626,3,50,30,15000,100,1
500,epsilon=0.3,0.3,0.3,509.41872746502673,63.584789767279304,0.12481832005605763,3,145,30,15000,100,70
1000,epsilon=0.3,0.3,0.3,443.49179994120914,21.394138354070225,0.04824021178498973,3,140,30,15000,100,65
2000,epsilon=0.3,0.3,0.3,417.5193584499302,16.43374785256866,0.03936044525834706,3,130,30,15000,100,55
3000,epsilon=0.3,0.3,0.3,413.831277076405,34.90039285674024,0.08433483593434779,3,120,30,15000,100,45
4000,epsilon=0.3,0.3,0.3,375.67210161709454,8.594478651083724,0.022877606865371346,3,110,30,15000,100,35
5000,epsilon=0.3,0.3,0.3,392.4621923839186,113.56873843143822,0.28937497836821385,3,100,30,15000,100,25
6000,epsilon=0.3,0.3,0.3,300.4560508290112,16.447588974971264,0.05474207934767653,3,90,30,15000,100,15
8000,epsilon=0.3,0.3,0.3,275.5267287361358,37.034813929300896,0.1344145959964853,3,70,30,15000,100,1
10000,epsilon=0.3,0.3,0.3,215.3055966320393,11.545012521342551,0.053621516123768774,3,50,30,15000,100,1
500,epsilon=0.4,0.4,0.4,484.614301702265,51.650937276927586,0.10658153730811816,3,145,30,15000,100,70
