policy,config_id,batch_index,cum_regret_mean,cum_regret_std,cum_regret_lower,cum_regret_upper,n_repeats
Epsilon_Greedy,epsilon=0.02,0,0.14422293676659834,0.01677874346278907,0.12744419330380927,0.1610016802293874,3
Epsilon_Greedy,epsilon=0.02,1,0.24470721695418696,0.029008354399723844,0.2156988625544631,0.2737155713539108,3
Epsilon_Greedy,epsilon=0.02,2,0.38051450052801705,0.06657093882640713,0.3139435617016099,0.4470854393544242,3
Epsilon_Greedy,epsilon=0.02,3,0.5037045326610508,0.036773013364867095,0.46693151929618365,0.5404775460259178,3
Epsilon_Greedy,epsilon=0.02,4,0.6048997389044745,0.019274954771853665,0.5856247841326208,0.6241746936763282,3
Epsilon_Greedy,epsilon=0.02,5,0.737001922524486,0.05826289090355733,0.6787390316209287,0.7952648134280433,3
Epsilon_Greedy,epsilon=0.02,6,0.8811593840598492,0.0696703336167761,0.8114890504430731,0.9508297176766253,3
Epsilon_Greedy,epsilon=0.02,7,1.0326949232556675,0.09472463803983977,0.9379702852158277,1.1274195612955071,3
Epsilon_Greedy,epsilon=0.02,8,1.1674611043409862,0.0868235960486932,1.080637508292293,1.2542847003896793,3
Epsilon_Greedy,epsilon=0.02,9,1.2885682240575294,0.03820208922879108,1.2503661348287383,1.3267703132863204,3
Epsilon_Greedy,epsilon=0.02,10,1.4217471937162902,0.0721561608480775,1.3495910328682128,1.4939033545643676,3
Epsilon_Greedy,epsilon=0.02,11,1.5659034391058342,0.11707939359361484,1.4488240455122194,1.682982832699449,3
Epsilon_Greedy,epsilon=0.02,12,1.675987935500025,0.2091497696115134,1.4668381658885115,1.8851377051115383,3
Epsilon_Greedy,epsilon=0.02,13,1.8256800511567992,0.20894793267170084,1.6167321184850985,2.0346279838285,3
Epsilon_Greedy,epsilon=0.02,14,1.9506413190067367,0.20724404506477503,1.7433972739419616,2.157885364071512,3
Epsilon_Greedy,epsilon=0.02,15,2.068280245851828,0.18508949771541405,1.8831907481364139,2.2533697435672417,3
Epsilon_Greedy,epsilon=0.02,16,2.162687988524286,0.21462167899938592,1.9480663095249,2.377309667523672,3
Epsilon_Greedy,epsilon=0.02,17,2.30053670724747,0.19183803839069766,2.1086986688567726,2.4923747456381675,3
Epsilon_Greedy,epsilon=0.02,18,2.4522882920852003,0.18011243700992585,2.2721758550752744,2.632400729095126,3
Epsilon_Greedy,epsilon=0.02,19,2.5806367160539927,0.1214961527972153,2.4591405632567773,2.702132868851208,3
Epsilon_Greedy,epsilon=0.02,20,2.6692155943125946,0.14726044784538198,2.5219551464672127,2.8164760421579764,3
Epsilon_Greedy,epsilon=0.02,21,2.7839340772503554,0.16596564106938225,2.617968436180973,2.9498997183197377,3
Epsilon_Greedy,epsilon=0.02,22,2.85865749496854,0.23164684336450325,2.627010651604037,3.090304338333043,3
Epsilon_Greedy,epsilon=0.02,23,2.956181217505391,0.27381757871511886,2.6823636387902723,3.2299987962205097,3
Epsilon_Greedy,epsilon=0.02,24,3.0032660971849974,0.27935942346007825,2.723906673724919,3.282625520645076,3
Epsilon_Greedy,epsilon=0.02,25,3.0989064332217993,0.34471570046334254,2.754190732758457,3.4436221336851416,3
Epsilon_Greedy,epsilon=0.02,26,3.1667863150921787,0.4210233344848414,2.745762980607337,3.58780964957702,3
