cooling_preset,policy,config_id,batch_index,cum_regret_mean,cum_regret_std,cum_regret_lower,cum_regret_upper,n_repeats
scale_default,Epsilon_Greedy,epsilon=0.05,0,0.1457836840556942,0.01916275432200625,0.12662092973368794,0.16494643837770046,3
scale_default,Epsilon_Greedy,epsilon=0.05,1,0.2642013887463431,0.014728753002543124,0.24947263574379996,0.2789301417488862,3
scale_default,Epsilon_Greedy,epsilon=0.05,2,0.37169695053205576,0.08989442068954864,0.2818025298425071,0.46159137122160443,3
scale_default,Epsilon_Greedy,epsilon=0.05,3,0.446504359595772,0.14695782047843656,0.2995465391173354,0.5934621800742086,3
scale_default,Epsilon_Greedy,epsilon=0.05,4,0.4781610501337872,0.17020803526200504,0.30795301487178217,0.6483690853957922,3
scale_default,Epsilon_Greedy,epsilon=0.05,5,0.5343815892524706,0.22729697580383915,0.30708461344863147,0.7616785650563097,3
scale_default,Epsilon_Greedy,epsilon=0.05,6,0.5957603115451818,0.28188094475596503,0.3138793667892168,0.8776412563011469,3
scale_default,Epsilon_Greedy,epsilon=0.05,7,0.6545722695364129,0.3418444379811114,0.3127278315553015,0.9964167075175243,3
scale_default,Epsilon_Greedy,epsilon=0.05,8,0.7058214915197832,0.4129207726968259,0.2929007188229573,1.1187422642166092,3
scale_default,Epsilon_Greedy,epsilon=0.05,9,0.7492377690352789,0.46613611525486043,0.2831016537804185,1.2153738842901394,3
scale_default,Epsilon_Greedy,epsilon=0.05,10,0.7936160787275229,0.5244036666490721,0.2692124120784508,1.3180197453765952,3
scale_default,Epsilon_Greedy,epsilon=0.05,11,0.8430955312326084,0.5877362329289845,0.2553592983036239,1.4308317641615929,3
scale_default,Epsilon_Greedy,epsilon=0.05,12,0.8667703257308594,0.6110135358838709,0.2557567898469886,1.4777838616147303,3
scale_default,Epsilon_Greedy,epsilon=0.05,13,0.9383805807582156,0.7040715797637888,0.23430900099442686,1.6424521605220044,3
scale_default,Epsilon_Greedy,epsilon=0.05,14,0.9861354702852703,0.7674561114360119,0.21867935884925838,1.7535915817212822,3
scale_default,Epsilon_Greedy,epsilon=0.05,15,1.0384964221966195,0.8156541778787235,0.222842244317896,1.854150600075343,3
scale_default,Epsilon_Greedy,epsilon=0.05,16,1.0724039976889743,0.8567835073133167,0.21562049037565767,1.9291875050022909,3
scale_default,Epsilon_Greedy,epsilon=0.05,17,1.1292953287878822,0.9273640105470103,0.20193131824087185,2.0566593393348924,3
scale_default,Epsilon_Greedy,epsilon=0.05,18,1.1672339608908706,0.9783935273575383,0.18884043353333235,2.145627488248409,3
scale_default,Epsilon_Greedy,epsilon=0.05,19,1.2546843686594964,1.1151020644276135,0.1395823042318829,2.3697864330871097,3
scale_default,Epsilon_Greedy,epsilon=0.05,20,1.3067458256174367,1.168834768537609,0.13791105707982765,2.475580594155046,3
scale_default,Epsilon_Greedy,epsilon=0.05,21,1.3710031578836779,1.2595198304058168,0.11148332747786105,2.6305229882894947,3
scale_default,Epsilon_Greedy,epsilon=0.05,22,1.4045217028516663,1.296807811430245,0.10771389142142129,2.7013295142819116,3
scale_default,Epsilon_Greedy,epsilon=0.05,23,1.4733901979077195,1.3668714041986487,0.1065187937090708,2.8402616021063682,3
scale_default,Epsilon_Greedy,epsilon=0.05,24,1.487837250805111,1.3756265659034992,0.11221068490161179,2.8634638167086104,3
