config_id,epsilon,explore_traffic_ratio,expected_explore_batches,n_batches,final_regret_mean,final_regret_std,final_regret_cv,path_cumregret_std_mean,incremental_regret_var_mean,n_repeats
epsilon=0.05,0.05,0.05,32.0,640,46.932303950842744,2.6563305054512374,0.05659919249294683,1.5497828340619757,0.0029545810443837067,3
epsilon=0.1,0.1,0.1,64.0,640,50.81384145892536,5.504680274794638,0.10833033120009766,3.3960047649959746,0.003922659974379035,3
epsilon=0.2,0.2,0.2,128.0,640,47.24706859357318,1.8900558671644554,0.04000366421508639,1.0077159874086514,0.0034498935275664327,3
epsilon=0.3,0.3,0.3,192.0,640,49.21758795933951,0.9265807948222329,0.01882621301124541,0.5926775317317792,0.0034750212986020394,3
epsilon=0.4,0.4,0.4,256.0,640,50.15036062115025,1.125421077991615,0.022440936895615934,0.5613932284199044,0.004058317913945419,3
epsilon=0.5,0.5,0.5,320.0,640,49.44085412883499,0.8016131115230899,0.016213577326844187,0.4048781611726239,0.0035440911354243407,3
epsilon=0.6,0.6,0.6,384.0,640,53.00349883891806,0.588540853041068,0.01110381136969262,0.48139659381776995,0.004062272565296113,3
epsilon=0.7,0.7,0.7,448.0,640,53.5927649045283,1.367918101661882,0.025524305456132573,0.9152053554233739,0.004363758618405784,3
