cooling_preset,policy,config_id,batch_index,cum_regret_mean,cum_regret_std,cum_regret_lower,cum_regret_upper,n_repeats
scale_default,Epsilon_Greedy,epsilon=0.05,0,0.1366921610949933,0.021358123934115472,0.11533403716087783,0.15805028502910878,5
scale_default,Epsilon_Greedy,epsilon=0.05,1,0.26493062497358244,0.011054407527502171,0.25387621744608024,0.27598503250108464,5
scale_default,Epsilon_Greedy,epsilon=0.05,2,0.3937457211451865,0.052119874757947646,0.34162584638723886,0.4458655959031342,5
scale_default,Epsilon_Greedy,epsilon=0.05,3,0.5087668636134142,0.08189431689979737,0.4268725467136168,0.5906611805132116,5
scale_default,Epsilon_Greedy,epsilon=0.05,4,0.6487190654025108,0.16093846863402306,0.48778059676848773,0.8096575340365338,5
scale_default,Epsilon_Greedy,epsilon=0.05,5,0.7731131754331007,0.20614771757705547,0.5669654578560452,0.9792608930101561,5
scale_default,Epsilon_Greedy,epsilon=0.05,6,0.879178333320748,0.22200678503409002,0.657171548286658,1.101185118354838,5
scale_default,Epsilon_Greedy,epsilon=0.05,7,0.9438283430516556,0.25157799767059486,0.6922503453810608,1.1954063407222506,5
scale_default,Epsilon_Greedy,epsilon=0.05,8,1.0155240082941546,0.29121390293638816,0.7243101053577664,1.3067379112305426,5
scale_default,Epsilon_Greedy,epsilon=0.05,9,1.0827315223415872,0.31677338216112083,0.7659581401804664,1.3995049045027081,5
scale_default,Epsilon_Greedy,epsilon=0.05,10,1.1938827561082503,0.3773965051575702,0.8164862509506802,1.5712792612658206,5
scale_default,Epsilon_Greedy,epsilon=0.05,11,1.3123024677744797,0.43655105242762704,0.8757514153468526,1.7488535202021067,5
scale_default,Epsilon_Greedy,epsilon=0.05,12,1.4200435164144207,0.5004031745282669,0.9196403418861538,1.9204466909426876,5
scale_default,Epsilon_Greedy,epsilon=0.05,13,1.5194666161235237,0.5584395003988017,0.961027115724722,2.0779061165223256,5
scale_default,Epsilon_Greedy,epsilon=0.05,14,1.6022751268350937,0.5924279802524102,1.0098471465826835,2.194703107087504,5
scale_default,Epsilon_Greedy,epsilon=0.05,15,1.6677676572578606,0.627404742424656,1.0403629148332045,2.2951723996825164,5
scale_default,Epsilon_Greedy,epsilon=0.05,16,1.7495226388844478,0.6758846769871651,1.0736379618972827,2.425407315871613,5
scale_default,Epsilon_Greedy,epsilon=0.05,17,1.8323158217974296,0.7332100169560559,1.0991058048413738,2.5655258387534854,5
scale_default,Epsilon_Greedy,epsilon=0.05,18,1.9127354109674979,0.7825510217292009,1.130184389238297,2.6952864326966988,5
scale_default,Epsilon_Greedy,epsilon=0.05,19,1.9835113173433492,0.8291719119639414,1.1543394053794078,2.8126832293072903,5
scale_default,Epsilon_Greedy,epsilon=0.05,20,2.069477465748272,0.8885787908906632,1.180898674857609,2.958056256638935,5
scale_default,Epsilon_Greedy,epsilon=0.05,21,2.1359153302193135,0.9357618952852403,1.200153434934073,3.071677225504554,5
scale_default,Epsilon_Greedy,epsilon=0.05,22,2.211855853321059,0.9665393579664242,1.245316495354635,3.178395211287483,5
scale_default,Epsilon_Greedy,epsilon=0.05,23,2.282620819349423,1.0071790855476566,1.2754417338017665,3.2897999048970794,5
scale_default,Epsilon_Greedy,epsilon=0.05,24,2.352055917434204,1.0496638708951704,1.3023920465390337,3.4017197883293746,5
scale_default,Epsilon_Greedy,epsilon=0.05,25,2.442563257989966,1.114484183159592,1.3280790748303741,3.557047441149558,5
scale_default,Epsilon_Greedy,epsilon=0.05,26,2.5293300201893825,1.1835631034308767,1.3457669167585058,3.712893123620259,5
scale_default,Epsilon_Greedy,epsilon=0.05,27,2.5926826514478876,1.2219366813350545,1.370745970112833,3.814619332782942,5
scale_default,Epsilon_Greedy,epsilon=0.05,28,2.684444195621031,1.286306265273984,1.398137930347047,3.9707504608950153,5
scale_default,Epsilon_Greedy,epsilon=0.05,29,2.753182456003233,1.3353841025321131,1.41779835347112,4.088566558535346,5
scale_default,Epsilon_Greedy,epsilon=0.05,30,2.829228776930439,1.3816169449821358,1.4476118319483033,4.210845721912575,5
scale_default,Epsilon_Greedy,epsilon=0.05,31,2.8963892035604486,1.428102357554529,1.4682868460059195,4.324491561114978,5
scale_default,Epsilon_Greedy,epsilon=0.05,32,2.9428556455567416,1.467250577216883,1.4756050683398587,4.410106222773624,5
scale_default,Epsilon_Greedy,epsilon=0.05,33,3.0074144760866384,1.5116850378692097,1.4957294382174287,4.519099513955848,5
scale_default,Epsilon_Greedy,epsilon=0.05,34,3.078834107997319,1.563154840269262,1.515679267728057,4.641988948266581,5
scale_default,Epsilon_Greedy,epsilon=0.05,35,3.184472399755906,1.6173489737820765,1.5671234259738296,4.801821373537983,5
scale_default,Epsilon_Greedy,epsilon=0.05,36,3.268550631330956,1.6813604321505005,1.5871901991804553,4.949911063481457,5
scale_default,Epsilon_Greedy,epsilon=0.05,37,3.3270723484083375,1.729137625176466,1.5979347232318715,5.056209973584804,5
scale_default,Epsilon_Greedy,epsilon=0.05,38,3.389770611352779,1.7757574248448174,1.6140131865079617,5.165528036197596,5
scale_default,Epsilon_Greedy,epsilon=0.05,39,3.4624571549135803,1.829992727221643,1.6324644276919373,5.292449882135223,5
scale_default,Epsilon_Greedy,epsilon=0.05,40,3.545058746264856,1.8983570463931518,1.6467016998717043,5.4434157926580085,5
scale_default,Epsilon_Greedy,epsilon=0.05,41,3.606185419652924,1.9502503832322278,1.6559350364206962,5.556435802885152,5
scale_default,Epsilon_Greedy,epsilon=0.05,42,3.65448800594758,1.9918162237103447,1.6626717822372352,5.6463042296579244,5
scale_default,Epsilon_Greedy,epsilon=0.05,43,3.735759819874454,2.055401774465993,1.680358045408461,5.791161594340447,5
scale_default,Epsilon_Greedy,epsilon=0.05,44,3.8001790980194565,2.1155209583582826,1.684658139661174,5.915700056377739,5
scale_default,Epsilon_Greedy,epsilon=0.05,45,3.853486274558351,2.1531413613900496,1.7003449131683013,6.0066276359484005,5
scale_default,Epsilon_Greedy,epsilon=0.05,46,3.894607186590401,2.1860229287556576,1.7085842578347434,6.080630115346059,5
scale_default,Epsilon_Greedy,epsilon=0.05,47,3.9451193592253007,2.2269118895612983,1.7182074696640024,6.172031248786599,5
scale_default,Epsilon_Greedy,epsilon=0.05,48,3.987391298433703,2.265451768759758,1.721939529673945,6.252843067193462,5
scale_default,Epsilon_Greedy,epsilon=0.05,49,4.030948825454115,2.307504034499209,1.7234447909549062,6.338452859953325,5
scale_default,Epsilon_Greedy,epsilon=0.05,50,4.0737891143815075,2.349018807828667,1.7247703065528404,6.422807922210175,5
scale_default,Epsilon_Greedy,epsilon=0.05,51,4.124297075045479,2.39214040038625,1.7321566746592287,6.5164374754317285,5
scale_default,Epsilon_Greedy,epsilon=0.05,52,4.174619864328633,2.424714420495384,1.7499054438332493,6.5993342848240175,5
