policy,config_id,final_regret_mean,final_regret_std,final_regret_cv,n_repeats
AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,417.7745501546672,8.552516553146338,0.01671499741041314,3
AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.1|gamma=0.9|max_epsilon=0.5,418.40294535011554,27.783005549900885,0.0542174219648663,3
AdaptiveEpsilonGreedy,anomaly_sensitivity=0.5|base_epsilon=0.1|gamma=0.9|max_epsilon=0.5,425.2499155843898,25.285359530719663,0.04854888583808284,3
AdaptiveEpsilonGreedy,anomaly_sensitivity=0.5|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,427.3193905283718,21.39197324717991,0.04087451541579435,3
Epsilon_Greedy,epsilon=0.1,208.83637150710436,17.350258064363377,0.06783505327894702,3
Epsilon_Greedy,epsilon=0.05,255.29582646838512,37.853044721110464,0.12106301156598971,3
Epsilon_Greedy,epsilon=0.02,281.1058541951774,39.94443927264906,0.11602212336192844,3
LinUCB_Vanilla,alpha=0.1|lambda_reg=50|use_momentum=False,375.3796938674763,6.688636372959912,0.014548599241808322,3
LinUCB_Vanilla,alpha=0.1|lambda_reg=100|use_momentum=False,390.93311202158475,12.551865990321128,0.026215624489732033,3
Random,default,468.7671714730271,40.296626087254474,0.07018848465812298,3
Thompson_Sampling,prior_lambda=0.1,445.85037438681684,16.386304887768066,0.030008636716527835,3
Thompson_Sampling,prior_lambda=0.15,458.2334207437748,44.14817030275078,0.07866477754482008,3
UCB,default,285.3932368020327,45.14844749932488,0.12916757744670967,3
