setting,dgp_name,dgp,rep,feature_dim,total_samples,ref_samples,batch_size,n_batches,shift_batch_index,policy,config_id,final_regret,mean_reward,hp_epsilon,hp_base_epsilon,hp_max_epsilon,hp_gamma,hp_anomaly_sensitivity,hp_alpha,hp_lambda_reg,hp_use_momentum,hp_prior_lambda
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,1,30,15000,5000,100,100,25,LinUCB_Vanilla,alpha=0.1|lambda_reg=50|use_momentum=False,376.8769420783142,-10.673640359785274,,,,,,0.1,50.0,False,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,1,30,15000,5000,100,100,25,LinUCB_Vanilla,alpha=0.1|lambda_reg=100|use_momentum=False,405.1950057451961,-10.956820996454097,,,,,,0.1,100.0,False,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,1,30,15000,5000,100,100,25,Thompson_Sampling,prior_lambda=0.1,430.51650071059174,-11.210035946108054,,,,,,,,,0.1
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,1,30,15000,5000,100,100,25,Thompson_Sampling,prior_lambda=0.15,498.9117232083611,-11.89398817108575,,,,,,,,,0.15
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.02,296.7071258161104,-9.887187990034006,0.02,,,,,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.05,284.62766109665296,-9.766393342839429,0.05,,,,,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.1,204.99813601860907,-8.970098092058992,0.1,,,,,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,408.9232427476359,-11.009349159349258,,0.05,0.5,0.9,0.3,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.5|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,425.5835249989445,-11.175951981862347,,0.05,0.5,0.9,0.5,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.1|gamma=0.9|max_epsilon=0.5,436.19674137888853,-11.282084145661788,,0.1,0.5,0.9,0.3,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.5|base_epsilon=0.1|gamma=0.9|max_epsilon=0.5,398.1604648140871,-10.901721380013766,,0.1,0.5,0.9,0.5,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,UCB,default,269.16498897310197,-9.61176662160392,,,,,,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,Random,default,426.3105990596932,-11.183222722469832,,,,,,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,LinUCB_Vanilla,alpha=0.1|lambda_reg=50|use_momentum=False,381.19281818576576,-10.732044913730558,,,,,,0.1,50.0,False,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,LinUCB_Vanilla,alpha=0.1|lambda_reg=100|use_momentum=False,386.03781504321137,-10.780494882305014,,,,,,0.1,100.0,False,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,Thompson_Sampling,prior_lambda=0.1,463.1175834312822,-11.551292566185726,,,,,,,,,0.1
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,Thompson_Sampling,prior_lambda=0.15,411.2856670955258,-11.032973402828157,,,,,,,,,0.15
